racer_number,racer_name,races,wins,win_rate
4259,真庭 明志,363,70,0.1928
4953,尾上 雅也,363,111,0.3058
4679,植田 太一,363,93,0.2562
4451,松崎 祐太郎,363,82,0.2259
4036,金田 諭,362,92,0.2541
5112,砂長 知輝,362,101,0.279
4075,中野 次郎,362,85,0.2348
4411,沢田 昭宏,362,68,0.1878
3556,田中 信一郎,362,110,0.3039
4452,松尾 祭,362,58,0.1602
4771,下寺 秀和,361,117,0.3241
4237,大峯 豊,361,107,0.2964
3909,佐々木 康幸,361,118,0.3269
4013,中島 孝平,361,100,0.277
3679,飯島 昌弘,361,75,0.2078
4483,北野 輝季,361,116,0.3213
4832,権藤 俊光,361,114,0.3158
3905,天野 友和,361,63,0.1745
4033,伊藤 将吉,360,93,0.2583
4907,小池 修平,360,116,0.3222
4769,馬場 剛,360,93,0.2583
4601,森野 正弘,360,97,0.2694
4109,谷津 幸宏,360,91,0.2528
3888,山本 英志,360,63,0.175
4350,篠崎 元志,360,112,0.3111
5028,原田 才一郎,360,116,0.3222
4379,桑島 和宏,360,67,0.1861
4607,鶴田 勇雄,359,55,0.1532
3641,一瀬 明,359,82,0.2284
4543,重木 輝彦,359,94,0.2618
4174,赤坂 俊輔,359,88,0.2451
4822,百武 翔,359,72,0.2006
4049,荒川 健太,359,77,0.2145
4959,井上 忠政,359,113,0.3148
3841,佐々木 和伸,358,74,0.2067
4357,田中 和也,358,110,0.3073
4624,高田 明,358,100,0.2793
5267,石本 裕武,358,120,0.3352
4375,照屋 厚仁,358,81,0.2263
5280,廣瀬 凜,358,97,0.2709
4539,金子 賢志,357,87,0.2437
4688,永井 彪也,357,97,0.2717
4208,三浦 永理,357,104,0.2913
3833,中辻 博訓,357,95,0.2661
4384,鶴本 崇文,357,79,0.2213
5298,水谷 理人,357,103,0.2885
4787,椎名 豊,356,121,0.3399
4467,渡邉 俊介,356,73,0.2051
4043,桐本 康臣,356,73,0.2051
4808,松尾 拓,356,84,0.236
4501,樋口 由加里,356,66,0.1854
4927,関野 文,356,69,0.1938
