stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
5,4,4-5,337,42,0.1246,0,0.0,0
5,4,6+,54,10,0.1852,0,0.0,0
5,5,0-1,1292,78,0.0604,0,0.0,0
5,5,2-3,1512,100,0.0661,0,0.0,0
5,5,4-5,337,22,0.0653,0,0.0,0
5,5,6+,54,2,0.037,0,0.0,0
5,6,0-1,1281,38,0.0297,0,0.0,0
5,6,2-3,1498,32,0.0214,0,0.0,0
5,6,4-5,333,8,0.024,0,0.0,0
5,6,6+,53,1,0.0189,0,0.0,0
6,1,0-1,431,249,0.5777,240,0.5568,0
6,1,2-3,1388,779,0.5612,745,0.5367,0
6,1,4-5,1278,648,0.507,613,0.4797,0
6,1,6+,332,150,0.4518,136,0.4096,0
6,2,0-1,431,59,0.1369,0,0.0,0
6,2,2-3,1388,169,0.1218,0,0.0,0
6,2,4-5,1278,173,0.1354,0,0.0,0
6,2,6+,332,50,0.1506,0,0.0,0
6,3,0-1,431,53,0.123,0,0.0,0
6,3,2-3,1388,183,0.1318,0,0.0,0
6,3,4-5,1278,212,0.1659,0,0.0,0
6,3,6+,332,47,0.1416,0,0.0,0
6,4,0-1,431,40,0.0928,0,0.0,0
6,4,2-3,1388,145,0.1045,0,0.0,0
6,4,4-5,1278,123,0.0962,0,0.0,0
6,4,6+,332,57,0.1717,0,0.0,0
6,5,0-1,431,24,0.0557,0,0.0,0
6,5,2-3,1388,91,0.0656,0,0.0,0
6,5,4-5,1278,95,0.0743,0,0.0,0
6,5,6+,332,18,0.0542,0,0.0,0
6,6,0-1,426,6,0.0141,0,0.0,0
6,6,2-3,1375,20,0.0145,0,0.0,0
6,6,4-5,1265,27,0.0213,0,0.0,0
6,6,6+,326,10,0.0307,0,0.0,0
7,1,0-1,793,503,0.6343,495,0.6242,0
7,1,2-3,1856,1024,0.5517,992,0.5345,0
7,1,4-5,573,306,0.534,296,0.5166,0
7,1,6+,28,13,0.4643,13,0.4643,0
7,2,0-1,793,69,0.087,0,0.0,0
7,2,2-3,1856,241,0.1298,0,0.0,0
7,2,4-5,573,84,0.1466,0,0.0,0
7,2,6+,28,5,0.1786,0,0.0,0
7,3,0-1,793,88,0.111,0,0.0,0
7,3,2-3,1856,213,0.1148,0,0.0,0
7,3,4-5,573,75,0.1309,0,0.0,0
7,3,6+,28,5,0.1786,0,0.0,0
7,4,0-1,793,71,0.0895,0,0.0,0
7,4,2-3,1856,229,0.1234,0,0.0,0
7,4,4-5,573,69,0.1204,0,0.0,0
7,4,6+,28,5,0.1786,0,0.0,0
7,5,0-1,792,51,0.0644,0,0.0,0
7,5,2-3,1856,108,0.0582,0,0.0,0
7,5,4-5,573,28,0.0489,0,0.0,0
7,5,6+,28,0,0.0,0,0.0,0
7,6,0-1,781,11,0.0141,0,0.0,0
7,6,2-3,1843,40,0.0217,0,0.0,0
7,6,4-5,564,11,0.0195,0,0.0,0
7,6,6+,28,0,0.0,0,0.0,0
8,1,0-1,527,309,0.5863,303,0.575,0
8,1,2-3,2137,1305,0.6107,1244,0.5821,0
8,1,4-5,565,309,0.5469,294,0.5204,0
8,1,6+,264,109,0.4129,102,0.3864,0
8,2,0-1,527,63,0.1195,0,0.0,0
8,2,2-3,2137,266,0.1245,0,0.0,0
8,2,4-5,565,79,0.1398,0,0.0,0
8,2,6+,264,42,0.1591,0,0.0,0
8,3,0-1,527,58,0.1101,0,0.0,0
8,3,2-3,2137,201,0.0941,0,0.0,0
8,3,4-5,565,58,0.1027,0,0.0,0
8,3,6+,264,47,0.178,0,0.0,0
8,4,0-1,527,52,0.0987,0,0.0,0
8,4,2-3,2137,214,0.1001,0,0.0,0
8,4,4-5,565,76,0.1345,0,0.0,0
8,4,6+,264,41,0.1553,0,0.0,0
8,5,0-1,527,37,0.0702,0,0.0,0
8,5,2-3,2137,111,0.0519,0,0.0,0
8,5,4-5,564,32,0.0567,0,0.0,0
8,5,6+,264,20,0.0758,0,0.0,0
8,6,0-1,522,8,0.0153,0,0.0,0
8,6,2-3,2127,40,0.0188,0,0.0,0
8,6,4-5,557,11,0.0197,0,0.0,0
8,6,6+,261,5,0.0192,0,0.0,0
9,1,0-1,653,415,0.6355,401,0.6141,0
9,1,2-3,1673,955,0.5708,907,0.5421,0
9,1,4-5,744,406,0.5457,380,0.5108,0
9,1,6+,271,139,0.5129,128,0.4723,0
9,2,0-1,653,72,0.1103,0,0.0,0
9,2,2-3,1673,239,0.1429,0,0.0,0
9,2,4-5,744,92,0.1237,0,0.0,0
9,2,6+,271,41,0.1513,0,0.0,0
9,3,0-1,653,72,0.1103,0,0.0,0
9,3,2-3,1673,184,0.11,0,0.0,0
9,3,4-5,744,94,0.1263,0,0.0,0
9,3,6+,271,30,0.1107,0,0.0,0
9,4,0-1,653,55,0.0842,0,0.0,0
9,4,2-3,1673,157,0.0938,0,0.0,0
9,4,4-5,744,89,0.1196,0,0.0,0
9,4,6+,271,24,0.0886,0,0.0,0
9,5,0-1,653,30,0.0459,0,0.0,0
9,5,2-3,1673,104,0.0622,0,0.0,0
9,5,4-5,744,51,0.0685,0,0.0,0
9,5,6+,271,26,0.0959,0,0.0,0
9,6,0-1,649,9,0.0139,0,0.0,0
9,6,2-3,1657,34,0.0205,0,0.0,0
9,6,4-5,737,12,0.0163,0,0.0,0
9,6,6+,271,9,0.0332,0,0.0,0
