fetched_at,race_date,stadium_number,race_number,race_closed_at,bet_type,combination,odds
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-6-2,1137.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-5-2,1605.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-6-4,470.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-6-4,1516.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-6-4,975.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-6-3,1436.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-6-3,1240.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-5-3,1365.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-6-5,650.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-6-5,1605.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-6-5,1706.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-6-5,1516.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-6-4,1300.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-5-4,1605.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=2=3,3.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=2=4,3.9
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=2=5,18.1
