racer_number,racer_name,races,wins,win_rate
5205,刑部 亜里紗,316,57,0.1804
5196,鰐部 太空海,316,90,0.2848
4025,山本 隆幸,316,84,0.2658
5218,山田 理央,316,74,0.2342
4977,馬野 耀,316,64,0.2025
4488,小山 勉,316,83,0.2627
4700,金子 和之,315,67,0.2127
4068,幸田 智裕,315,29,0.0921
3713,伊藤 誠二,315,66,0.2095
3730,塩崎 優司,315,32,0.1016
5012,加倉 侑征,315,47,0.1492
3478,嶋田 貴支,315,43,0.1365
5276,大島 隆乃介,315,39,0.1238
4318,桑原 将光,315,45,0.1429
3885,久田 武,315,47,0.1492
4345,西舘 健,315,54,0.1714
5073,上原 健次郎,315,47,0.1492
4840,鈴木 秀茉,314,34,0.1083
4243,西村 歩,314,56,0.1783
4380,鈴木 峻佑,314,44,0.1401
5036,福田 翔吾,314,40,0.1274
3854,吉川 元浩,314,79,0.2516
4654,篠田 優也,314,68,0.2166
5177,松井 貫太,314,18,0.0573
4894,原村 拓也,314,33,0.1051
4842,山下 昂大,314,57,0.1815
4144,石塚 久也,313,64,0.2045
4825,倉持 莉々,313,92,0.2939
4979,中野 夢斗,313,50,0.1597
4396,大田 直弥,313,33,0.1054
4096,石橋 道友,313,89,0.2843
3340,池田 雷太,313,33,0.1054
3539,金子 順一,313,25,0.0799
4383,竹田 吉行,313,47,0.1502
4711,前出 達吉,313,51,0.1629
4182,吉田 和仁,313,30,0.0958
4872,山下 流心,313,36,0.115
3517,高橋 勲,312,55,0.1763
4594,谷川 祐一,312,64,0.2051
5032,谷口 知優,312,51,0.1635
4196,田中 太一郎,312,34,0.109
4494,河合 佑樹,312,71,0.2276
4442,松竹 大輔,312,68,0.2179
4857,加藤 翔馬,312,91,0.2917
5161,登玉 隼百,312,64,0.2051
4014,片岡 恵里,312,60,0.1923
4395,下河 雅史,312,39,0.125
4382,高山 智至,312,21,0.0673
4371,西山 貴浩,312,64,0.2051
4444,桐生 順平,311,74,0.2379
5286,坂井 滉哉,311,33,0.1061
4100,松田 隆司,311,46,0.1479
4957,竹之内 極,311,48,0.1543
3797,岩井 繁,311,13,0.0418
5269,山口 晃朋,311,85,0.2733
3891,谷口 健一,311,16,0.0514
5081,篠原 飛翔,311,59,0.1897
5150,坂本 雄紀,310,78,0.2516
4794,和田 拓也,310,93,0.3
5155,内山 七海,310,61,0.1968
3474,松瀬 弘美,310,25,0.0806
4081,樋口 範政,310,35,0.1129
4861,田中 宏樹,310,41,0.1323
3508,久富 政弘,310,41,0.1323
3804,中渡 修作,310,33,0.1065
3882,新田 智彰,310,37,0.1194
5301,岩下 巧斗,309,45,0.1456
4791,黒澤 めぐみ,309,54,0.1748
4406,幸野 史明,309,37,0.1197
3826,村田 修次,309,49,0.1586
4224,大橋 栄里佳,309,46,0.1489
3643,米田 隆弘,309,41,0.1327
3615,横田 茂,309,29,0.0939
4695,尾崎 雄二,309,47,0.1521
3843,上之 晃弘,309,39,0.1262
4989,石原 翼,309,69,0.2233
3771,折下 寛法,309,48,0.1553
4450,平高 奈菜,309,66,0.2136
3690,河合 三弘,309,29,0.0939
5143,常盤 海心,309,16,0.0518
4680,後藤 美翼,309,32,0.1036
3362,間嶋 仁志,309,48,0.1553
4816,村松 修二,309,65,0.2104
4847,佐藤 隆太郎,308,82,0.2662
4630,岩永 雅人,308,57,0.1851
4200,早川 尚人,308,23,0.0747
5243,三馬 崇史,308,59,0.1916
3684,清水 攻二,308,51,0.1656
4150,山田 雄太,308,65,0.211
4550,石岡 将太,308,41,0.1331
5264,登 みひ果,308,32,0.1039
4247,齊藤 優,308,40,0.1299
4638,小林 遼太,308,40,0.1299
4571,菅 章哉,308,109,0.3539
4401,小林 泰,308,61,0.1981
3484,芝田 浩治,308,64,0.2078
3947,寺本 昇平,307,32,0.1042
4900,中田 夕貴,307,52,0.1694
4416,三宅 健太,307,44,0.1433
4136,江夏 満,307,74,0.241
4497,桑原 悠,307,94,0.3062
4553,坪口 竜也,307,62,0.202
4489,岩川 仁士,307,47,0.1531
3434,松尾 宣邦,307,32,0.1042
3385,渡邉 睦広,307,51,0.1661
5003,来田 衣織,307,43,0.1401
3569,増田 進,306,20,0.0654
4327,加藤 翔,306,24,0.0784
4487,三原 司,306,32,0.1046
3870,寺嶋 雄,306,33,0.1078
5092,篠原 晟弥,306,77,0.2516
3703,鳥飼 眞,306,62,0.2026
4568,廣瀬 真也,306,60,0.1961
3564,桑原 啓,306,36,0.1176
3611,岩崎 芳美,306,49,0.1601
3381,滝沢 芳行,305,42,0.1377
4797,中山 将,305,75,0.2459
3430,角浜 修,305,34,0.1115
4108,吉村 正明,305,68,0.223
4718,北川 太一,305,70,0.2295
4948,木場 悠介,305,50,0.1639
4895,門間 雄大,305,42,0.1377
4329,小松 卓司,305,23,0.0754
4821,妻鳥 晋也,305,45,0.1475
5299,西丸 敦基,305,53,0.1738
4116,川田 正人,305,33,0.1082
3731,高濱 芳久,305,32,0.1049
4009,小林 一樹,305,60,0.1967
4685,島村 隆幸,305,104,0.341
4031,飯島 誠,304,33,0.1086
3807,岡部 哲,304,26,0.0855
3944,山口 裕二,304,59,0.1941
4520,高倉 孝太,304,57,0.1875
3635,石田 政吾,304,39,0.1283
4082,濱崎 誠,304,56,0.1842
4202,浮田 圭浩,304,29,0.0954
3708,岡部 貴司,304,36,0.1184
4552,杉山 勝匡,304,52,0.1711
3839,川合 理司,304,18,0.0592
4226,村田 浩司,304,35,0.1151
3737,上平 真二,304,82,0.2697
3581,加木 郁,303,31,0.1023
4981,牧山 敦也,303,40,0.132
4924,中北 涼,303,18,0.0594
4715,村上 遼,303,94,0.3102
4888,金児 隆太,303,47,0.1551
4973,栗原 直也,303,46,0.1518
5013,山下 夏鈴,303,69,0.2277
4258,関根 彰人,303,38,0.1254
5157,市川 健太,303,42,0.1386
5303,土井 歩夢,303,44,0.1452
