racer_id,is_night,races,wins,win_rate,low_sample
3932,0,201,31,0.1542,0
3932,1,26,3,0.1154,0
3933,0,278,43,0.1547,0
3933,1,57,11,0.193,0
3934,0,266,24,0.0902,0
3934,1,57,5,0.0877,0
3935,0,238,30,0.1261,0
3935,1,29,0,0.0,0
3939,0,86,17,0.1977,0
3939,1,47,8,0.1702,0
3940,0,317,88,0.2776,0
3940,1,86,13,0.1512,0
3941,0,275,81,0.2945,0
3941,1,93,38,0.4086,0
3942,0,198,44,0.2222,0
3942,1,118,33,0.2797,0
3943,0,37,0,0.0,0
3943,1,16,0,0.0,0
3944,0,192,34,0.1771,0
3944,1,110,24,0.2182,0
3945,0,180,12,0.0667,0
3945,1,44,1,0.0227,0
3946,0,293,77,0.2628,0
3946,1,128,45,0.3516,0
3947,0,230,28,0.1217,0
3947,1,74,4,0.0541,0
3948,0,206,10,0.0485,0
3948,1,40,2,0.05,0
3949,0,187,2,0.0107,0
3949,1,55,3,0.0545,0
3950,0,217,9,0.0415,0
3950,1,19,0,0.0,0
3951,0,256,43,0.168,0
3951,1,84,10,0.119,0
3952,0,274,83,0.3029,0
3952,1,95,30,0.3158,0
3953,0,150,12,0.08,0
3953,1,43,1,0.0233,0
3955,0,176,19,0.108,0
3955,1,53,8,0.1509,0
3956,0,246,52,0.2114,0
3956,1,79,24,0.3038,0
3957,0,262,35,0.1336,0
3957,1,69,3,0.0435,0
3959,0,295,85,0.2881,0
3959,1,48,14,0.2917,0
3960,0,290,77,0.2655,0
3960,1,85,32,0.3765,0
3961,0,237,54,0.2278,0
3961,1,62,18,0.2903,0
3963,0,247,45,0.1822,0
3963,1,82,12,0.1463,0
3964,0,215,12,0.0558,0
3964,1,77,5,0.0649,0
3965,0,289,71,0.2457,0
3965,1,61,9,0.1475,0
3966,0,315,86,0.273,0
3966,1,82,20,0.2439,0
3967,0,213,19,0.0892,0
3967,1,49,2,0.0408,0
3968,0,252,46,0.1825,0
3968,1,64,8,0.125,0
3973,0,254,20,0.0787,0
3973,1,79,5,0.0633,0
3974,0,199,18,0.0905,0
3974,1,52,2,0.0385,0
3975,0,213,34,0.1596,0
3975,1,83,17,0.2048,0
3976,0,226,24,0.1062,0
3976,1,58,2,0.0345,0
3977,0,256,23,0.0898,0
3977,1,60,8,0.1333,0
3978,0,267,51,0.191,0
3978,1,77,23,0.2987,0
3981,0,276,41,0.1486,0
3981,1,60,4,0.0667,0
3982,0,232,27,0.1164,0
3982,1,42,2,0.0476,0
3983,0,314,67,0.2134,0
3983,1,71,15,0.2113,0
3984,0,281,69,0.2456,0
3984,1,93,23,0.2473,0
3986,0,151,19,0.1258,0
3986,1,53,7,0.1321,0
3987,0,231,46,0.1991,0
3987,1,69,13,0.1884,0
3988,0,272,53,0.1949,0
3988,1,107,23,0.215,0
3989,0,181,14,0.0773,0
3989,1,79,4,0.0506,0
3990,0,235,29,0.1234,0
3990,1,54,5,0.0926,0
3992,0,226,39,0.1726,0
3992,1,43,1,0.0233,0
3993,0,212,37,0.1745,0
3993,1,55,5,0.0909,0
3994,0,221,24,0.1086,0
3994,1,47,2,0.0426,0
3995,0,228,57,0.25,0
3995,1,69,17,0.2464,0
3997,0,240,63,0.2625,0
3997,1,147,33,0.2245,0
3998,0,241,16,0.0664,0
3998,1,55,2,0.0364,0
3999,0,286,58,0.2028,0
3999,1,92,18,0.1957,0
4000,0,326,67,0.2055,0
4000,1,83,17,0.2048,0
4002,0,271,79,0.2915,0
4002,1,69,18,0.2609,0
4003,0,245,29,0.1184,0
4003,1,44,3,0.0682,0
4004,0,231,30,0.1299,0
4004,1,52,5,0.0962,0
