stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
17,2,2-3,1546,190,0.1229,0,0.0,0
17,2,4-5,706,82,0.1161,0,0.0,0
17,2,6+,84,13,0.1548,0,0.0,0
17,3,0-1,1006,119,0.1183,0,0.0,0
17,3,2-3,1546,206,0.1332,0,0.0,0
17,3,4-5,706,103,0.1459,0,0.0,0
17,3,6+,84,9,0.1071,0,0.0,0
17,4,0-1,1006,91,0.0905,0,0.0,0
17,4,2-3,1546,166,0.1074,0,0.0,0
17,4,4-5,706,75,0.1062,0,0.0,0
17,4,6+,84,14,0.1667,0,0.0,0
17,5,0-1,1006,49,0.0487,0,0.0,0
17,5,2-3,1546,97,0.0627,0,0.0,0
17,5,4-5,706,52,0.0737,0,0.0,0
17,5,6+,84,2,0.0238,0,0.0,0
17,6,0-1,992,11,0.0111,0,0.0,0
17,6,2-3,1529,24,0.0157,0,0.0,0
17,6,4-5,699,17,0.0243,0,0.0,0
17,6,6+,81,3,0.037,0,0.0,0
18,1,0-1,515,356,0.6913,343,0.666,0
18,1,2-3,1792,1127,0.6289,1070,0.5971,0
18,1,4-5,943,545,0.5779,520,0.5514,0
18,1,6+,79,44,0.557,39,0.4937,0
18,2,0-1,515,58,0.1126,0,0.0,0
18,2,2-3,1792,216,0.1205,0,0.0,0
18,2,4-5,943,114,0.1209,0,0.0,0
18,2,6+,79,11,0.1392,0,0.0,0
18,3,0-1,515,45,0.0874,0,0.0,0
18,3,2-3,1792,193,0.1077,0,0.0,0
18,3,4-5,943,139,0.1474,0,0.0,0
18,3,6+,79,12,0.1519,0,0.0,0
18,4,0-1,515,31,0.0602,0,0.0,0
18,4,2-3,1792,156,0.0871,0,0.0,0
18,4,4-5,943,93,0.0986,0,0.0,0
18,4,6+,79,9,0.1139,0,0.0,0
18,5,0-1,515,19,0.0369,0,0.0,0
18,5,2-3,1792,83,0.0463,0,0.0,0
18,5,4-5,943,38,0.0403,0,0.0,0
18,5,6+,79,2,0.0253,0,0.0,0
18,6,0-1,508,6,0.0118,0,0.0,0
18,6,2-3,1775,17,0.0096,0,0.0,0
18,6,4-5,937,14,0.0149,0,0.0,0
18,6,6+,78,1,0.0128,0,0.0,0
19,1,0-1,587,391,0.6661,376,0.6405,0
19,1,2-3,1675,1017,0.6072,964,0.5755,0
19,1,4-5,707,403,0.57,375,0.5304,0
19,1,6+,130,73,0.5615,69,0.5308,0
19,2,0-1,587,54,0.092,0,0.0,0
19,2,2-3,1675,211,0.126,0,0.0,0
19,2,4-5,707,84,0.1188,0,0.0,0
19,2,6+,130,18,0.1385,0,0.0,0
19,3,0-1,587,69,0.1175,0,0.0,0
19,3,2-3,1675,176,0.1051,0,0.0,0
19,3,4-5,707,99,0.14,0,0.0,0
19,3,6+,130,14,0.1077,0,0.0,0
19,4,0-1,587,48,0.0818,0,0.0,0
19,4,2-3,1675,162,0.0967,0,0.0,0
19,4,4-5,707,64,0.0905,0,0.0,0
19,4,6+,130,17,0.1308,0,0.0,0
19,5,0-1,587,19,0.0324,0,0.0,0
19,5,2-3,1675,80,0.0478,0,0.0,0
19,5,4-5,707,41,0.058,0,0.0,0
19,5,6+,130,8,0.0615,0,0.0,0
19,6,0-1,579,6,0.0104,0,0.0,0
19,6,2-3,1652,29,0.0176,0,0.0,0
19,6,4-5,699,16,0.0229,0,0.0,0
19,6,6+,128,0,0.0,0,0.0,0
2,1,0-1,1500,663,0.442,635,0.4233,0
2,1,2-3,1067,447,0.4189,425,0.3983,0
2,1,4-5,392,150,0.3827,143,0.3648,0
2,1,6+,209,86,0.4115,78,0.3732,0
2,2,0-1,1500,253,0.1687,0,0.0,0
2,2,2-3,1067,171,0.1603,0,0.0,0
2,2,4-5,392,67,0.1709,0,0.0,0
2,2,6+,209,39,0.1866,0,0.0,0
2,3,0-1,1500,240,0.16,0,0.0,0
2,3,2-3,1067,181,0.1696,0,0.0,0
2,3,4-5,392,75,0.1913,0,0.0,0
2,3,6+,209,34,0.1627,0,0.0,0
2,4,0-1,1500,192,0.128,0,0.0,0
2,4,2-3,1067,155,0.1453,0,0.0,0
2,4,4-5,392,62,0.1582,0,0.0,0
2,4,6+,209,28,0.134,0,0.0,0
2,5,0-1,1499,121,0.0807,0,0.0,0
2,5,2-3,1067,75,0.0703,0,0.0,0
2,5,4-5,392,28,0.0714,0,0.0,0
2,5,6+,209,17,0.0813,0,0.0,0
2,6,0-1,1487,31,0.0208,0,0.0,0
2,6,2-3,1054,38,0.0361,0,0.0,0
2,6,4-5,388,10,0.0258,0,0.0,0
2,6,6+,209,4,0.0191,0,0.0,0
20,1,0-1,841,558,0.6635,536,0.6373,0
20,1,2-3,1233,700,0.5677,666,0.5401,0
20,1,4-5,922,496,0.538,471,0.5108,0
20,1,6+,289,137,0.474,121,0.4187,0
20,2,0-1,841,86,0.1023,0,0.0,0
20,2,2-3,1233,156,0.1265,0,0.0,0
20,2,4-5,922,127,0.1377,0,0.0,0
20,2,6+,289,44,0.1522,0,0.0,0
20,3,0-1,841,65,0.0773,0,0.0,0
