racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
3918,深井 利寿,373,0.1704,0.00515,0
3920,正木 聖賢,252,0.163,0.005664,0
3921,川村 正輝,138,0.2034,0.005891,0
3922,菅沼 佳昭,321,0.1862,0.004923,0
3928,林 恵祐,284,0.1692,0.004169,0
3929,杢野 誓良,299,0.1606,0.003582,0
3930,岸本 隆,325,0.1506,0.004685,0
3931,黒崎 竜也,289,0.1486,0.005255,0
3932,池田 浩美,227,0.1726,0.004628,0
3933,山地 正樹,336,0.1751,0.004126,0
3934,鋤柄 貴俊,323,0.1636,0.004645,0
3935,岩津 徹郎,269,0.1623,0.004565,0
3939,渡辺 真至,133,0.1511,0.003809,0
3940,飯山 泰,403,0.1438,0.003499,0
3941,池田 浩二,368,0.1238,0.002525,0
3942,寺田 祥,314,0.1461,0.002763,0
3943,三松 直美,53,0.1753,0.00458,0
3944,山口 裕二,304,0.172,0.005062,0
3945,橋口 真樹,223,0.197,0.005751,0
3946,赤岩 善生,423,0.1492,0.003238,0
3947,寺本 昇平,304,0.1775,0.005145,0
3948,大町 利克,247,0.1836,0.006613,0
3949,今出 晋二,243,0.1739,0.00584,0
3950,石川 哲秀,237,0.1503,0.004795,0
3951,石川 吉鎬,340,0.1888,0.005101,0
3952,中澤 和志,371,0.1409,0.005031,0
3953,志道 吉和,195,0.1927,0.006441,0
3955,眞田 英二,226,0.1817,0.00356,0
3956,横澤 剛治,323,0.1615,0.003068,0
3957,大谷 直弘,331,0.1865,0.004957,0
3959,坪井 康晴,343,0.1375,0.003262,0
3960,菊地 孝平,375,0.1082,0.001907,0
3961,谷村 一哉,300,0.1647,0.003954,0
3963,原田 秀弥,331,0.1642,0.004555,0
3964,宮地 博士,294,0.202,0.005995,0
3965,北中 元樹,350,0.1639,0.005199,0
3966,作間 章,396,0.1736,0.004702,0
3967,鈴木 茂高,262,0.1918,0.006456,0
3968,茶谷 信次,314,0.1682,0.005363,0
3973,崎 利仁,333,0.1937,0.005416,0
3974,深山 祐二,252,0.1587,0.004329,0
3975,小野寺 智洋,297,0.1396,0.003022,0
3976,内田 圭,283,0.1744,0.004939,0
3977,山本 兼士,318,0.166,0.006771,0
3978,齊藤 仁,344,0.1516,0.003776,0
3981,今坂 晃広,335,0.192,0.003346,0
3982,福田 理,274,0.16,0.004366,0
3983,須藤 博倫,386,0.1397,0.003261,0
3984,坂口 周,375,0.1634,0.002889,0
3986,沖島 広和,204,0.1728,0.003418,0
3987,後藤 正宗,301,0.1563,0.00393,0
3988,古川 誠之,381,0.145,0.00361,0
3989,熊本 英一,260,0.2149,0.006823,0
3990,芹澤 克彦,286,0.1448,0.003558,0
3992,関口 智久,270,0.1395,0.00364,0
3993,永井 聖美,267,0.1639,0.004386,0
3994,小野 桜,267,0.1863,0.004522,0
3995,重野 哲之,296,0.1175,0.002677,0
3997,北村 征嗣,389,0.1589,0.003307,0
3998,冨成 謙児,296,0.1689,0.003353,0
3999,大瀧 明日香,377,0.1566,0.004167,0
4000,松本 博昭,411,0.1693,0.003494,0
4002,古結 宏,342,0.1417,0.003015,0
4003,表 憲一,289,0.1648,0.003946,0
4004,山本 浩輔,282,0.1776,0.004521,0
4005,瀬川 公則,53,0.1645,0.0043,0
4006,小野 勇作,291,0.1716,0.002696,0
4007,榮田 将彦,267,0.1289,0.00321,0
4009,小林 一樹,305,0.1248,0.00298,0
4010,越智 照浩,254,0.1715,0.005985,0
4011,堀之内 紀代子,300,0.1548,0.00489,0
4012,中村 有裕,326,0.1501,0.005261,0
4013,中島 孝平,366,0.1373,0.003864,0
4014,片岡 恵里,312,0.1712,0.005585,0
4015,前野 竜一,341,0.1596,0.004634,0
4016,西川 新太郎,291,0.1538,0.004392,0
4017,向井 美鈴,297,0.1837,0.00407,0
4019,笠原 亮,342,0.1625,0.003532,0
4020,川上 清人,273,0.1819,0.006155,0
4022,待鳥 雄紀,259,0.1566,0.005215,0
4023,柴田 友和,269,0.1786,0.003897,0
4024,井口 佳典,356,0.1502,0.003027,0
4025,山本 隆幸,314,0.1723,0.004213,0
4027,松江 秀徳,302,0.1587,0.004434,0
4028,田村 隆信,334,0.1515,0.004191,0
4030,森高 一真,351,0.1377,0.002815,0
4031,飯島 誠,304,0.1683,0.004784,0
4033,伊藤 将吉,363,0.1408,0.003057,0
4034,西原 明生,293,0.1954,0.004162,0
4035,杉江 浩明,326,0.2045,0.004511,0
4036,金田 諭,371,0.1594,0.003584,0
4039,村上 功祐,327,0.1502,0.00332,0
4040,廣瀬 将亨,397,0.1455,0.003763,0
4041,小林 基樹,213,0.2038,0.006633,0
4042,丸岡 正典,361,0.1796,0.004065,0
4043,桐本 康臣,356,0.1556,0.003791,0
4044,湯川 浩司,342,0.1342,0.003385,0
4045,佐々木 裕美,283,0.158,0.003375,0
4047,吉永 浩則,255,0.1783,0.004052,0
4049,荒川 健太,365,0.1673,0.004553,0
4050,田口 節子,323,0.1498,0.003948,0
4051,清水 敦揮,286,0.1717,0.005222,0
4052,興津 藍,330,0.1542,0.003973,0
4053,芦澤 望,328,0.1582,0.005181,0
4054,福嶋 智之,285,0.1556,0.006027,0
4055,吉田 俊彦,397,0.1537,0.003782,0
4056,小西 英輝,115,0.1648,0.004204,0
4057,松井 賢治,380,0.1578,0.00237,0
4058,野末 智一,385,0.1882,0.003463,0
4059,入澤 友治,270,0.1551,0.005648,0
4060,島田 一生,299,0.1639,0.006232,0
4061,萩原 秀人,393,0.1324,0.002869,0
4062,後藤 陽介,262,0.1784,0.003585,0
4063,市橋 卓士,396,0.1305,0.003532,0
4064,原田 篤志,386,0.1624,0.004723,0
4065,金田 幸子,255,0.1719,0.003806,0
4066,東本 勝利,342,0.1582,0.00351,0
4067,永井 源,393,0.1627,0.004206,0
4068,幸田 智裕,315,0.1588,0.004595,0
4069,山本 修一,338,0.1759,0.006535,0
4071,古賀 千晶,210,0.1728,0.0055,0
4072,森永 淳,318,0.1354,0.002314,0
4073,大橋 純一郎,354,0.1558,0.002893,0
4074,柳沢 一,384,0.1329,0.002781,0
4075,中野 次郎,369,0.1263,0.00316,0
4076,杉田 篤光,368,0.2022,0.004701,0
4077,品田 直樹,333,0.179,0.003366,0
4078,渡辺 史之,55,0.1709,0.004517,0
4079,出畑 孝典,345,0.1651,0.003876,0
4080,山崎 哲司,131,0.1285,0.004165,0
4081,樋口 範政,310,0.1804,0.0047,0
4082,濱崎 誠,304,0.1678,0.006622,0
4083,福島 勇樹,344,0.1352,0.003989,0
4084,杉山 正樹,400,0.1532,0.002909,0
4085,荻野 裕介,219,0.2011,0.006763,0
4086,寺本 重宣,328,0.1392,0.003787,0
4089,妹尾 忠幸,384,0.1564,0.003705,0
4090,中村 尊,283,0.1437,0.00386,0
4092,岡部 大輔,278,0.1517,0.003929,0
