stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
6,5,13,1286,109,0.0848,0,0.0,0
6,5,15,293,15,0.0512,0,0.0,0
6,5,17,104,5,0.0481,0,0.0,0
6,5,3,619,36,0.0582,0,0.0,0
6,5,5,125,6,0.048,0,0.0,0
6,5,7,93,5,0.0538,0,0.0,0
6,5,9,186,14,0.0753,0,0.0,0
6,6,1,366,5,0.0137,0,0.0,0
6,6,11,385,6,0.0156,0,0.0,0
6,6,13,1275,28,0.022,0,0.0,0
6,6,15,292,6,0.0205,0,0.0,0
6,6,17,102,1,0.0098,0,0.0,0
6,6,3,610,10,0.0164,0,0.0,0
6,6,5,124,6,0.0484,0,0.0,0
6,6,7,90,2,0.0222,0,0.0,0
6,6,9,184,0,0.0,0,0.0,0
7,1,1,971,563,0.5798,545,0.5613,0
7,1,11,198,98,0.4949,95,0.4798,0
7,1,13,522,276,0.5287,271,0.5192,0
7,1,15,306,161,0.5261,158,0.5163,0
7,1,17,93,58,0.6237,56,0.6022,0
7,1,3,69,44,0.6377,44,0.6377,0
7,1,5,81,57,0.7037,56,0.6914,0
7,1,7,212,120,0.566,116,0.5472,0
7,1,9,822,484,0.5888,470,0.5718,0
7,2,1,971,119,0.1226,0,0.0,0
7,2,11,198,26,0.1313,0,0.0,0
7,2,13,522,68,0.1303,0,0.0,0
7,2,15,306,38,0.1242,0,0.0,0
7,2,17,93,7,0.0753,0,0.0,0
7,2,3,69,8,0.1159,0,0.0,0
7,2,5,81,6,0.0741,0,0.0,0
7,2,7,212,25,0.1179,0,0.0,0
7,2,9,822,103,0.1253,0,0.0,0
7,3,1,971,116,0.1195,0,0.0,0
7,3,11,198,33,0.1667,0,0.0,0
7,3,13,522,64,0.1226,0,0.0,0
7,3,15,306,44,0.1438,0,0.0,0
7,3,17,93,11,0.1183,0,0.0,0
7,3,3,69,5,0.0725,0,0.0,0
7,3,5,81,10,0.1235,0,0.0,0
7,3,7,212,23,0.1085,0,0.0,0
7,3,9,822,81,0.0985,0,0.0,0
7,4,1,971,101,0.104,0,0.0,0
7,4,11,198,25,0.1263,0,0.0,0
7,4,13,522,69,0.1322,0,0.0,0
7,4,15,306,33,0.1078,0,0.0,0
7,4,17,93,6,0.0645,0,0.0,0
7,4,3,69,5,0.0725,0,0.0,0
7,4,5,81,6,0.0741,0,0.0,0
7,4,7,212,28,0.1321,0,0.0,0
7,4,9,822,102,0.1241,0,0.0,0
7,5,1,971,59,0.0608,0,0.0,0
7,5,11,198,12,0.0606,0,0.0,0
7,5,13,522,33,0.0632,0,0.0,0
7,5,15,305,24,0.0787,0,0.0,0
7,5,17,93,10,0.1075,0,0.0,0
7,5,3,69,7,0.1014,0,0.0,0
7,5,5,81,1,0.0123,0,0.0,0
7,5,7,212,10,0.0472,0,0.0,0
7,5,9,822,32,0.0389,0,0.0,0
7,6,1,960,13,0.0135,0,0.0,0
7,6,11,196,4,0.0204,0,0.0,0
7,6,13,520,12,0.0231,0,0.0,0
7,6,15,303,6,0.0198,0,0.0,0
7,6,17,92,1,0.0109,0,0.0,0
7,6,3,69,0,0.0,0,0.0,0
7,6,5,80,1,0.0125,0,0.0,0
7,6,7,209,6,0.0287,0,0.0,0
7,6,9,811,19,0.0234,0,0.0,0
8,1,1,181,101,0.558,97,0.5359,0
8,1,11,687,403,0.5866,381,0.5546,0
8,1,13,438,249,0.5685,240,0.5479,0
8,1,15,607,328,0.5404,308,0.5074,0
8,1,17,17,14,0.8235,14,0.8235,0
8,1,3,88,53,0.6023,52,0.5909,0
8,1,5,46,27,0.587,26,0.5652,0
8,1,7,597,352,0.5896,337,0.5645,0
8,1,9,856,519,0.6063,501,0.5853,0
8,2,1,181,30,0.1657,0,0.0,0
8,2,11,687,89,0.1295,0,0.0,0
8,2,13,438,51,0.1164,0,0.0,0
8,2,15,607,84,0.1384,0,0.0,0
8,2,17,17,0,0.0,0,0.0,0
8,2,3,88,10,0.1136,0,0.0,0
8,2,5,46,7,0.1522,0,0.0,0
8,2,7,597,92,0.1541,0,0.0,0
8,2,9,856,90,0.1051,0,0.0,0
8,3,1,181,15,0.0829,0,0.0,0
8,3,11,687,75,0.1092,0,0.0,0
8,3,13,438,49,0.1119,0,0.0,0
8,3,15,607,75,0.1236,0,0.0,0
8,3,17,17,1,0.0588,0,0.0,0
8,3,3,88,9,0.1023,0,0.0,0
8,3,5,46,5,0.1087,0,0.0,0
8,3,7,597,53,0.0888,0,0.0,0
8,3,9,856,84,0.0981,0,0.0,0
8,4,1,181,14,0.0773,0,0.0,0
8,4,11,687,70,0.1019,0,0.0,0
8,4,13,438,45,0.1027,0,0.0,0
8,4,15,607,78,0.1285,0,0.0,0
8,4,17,17,1,0.0588,0,0.0,0
8,4,3,88,11,0.125,0,0.0,0
8,4,5,46,4,0.087,0,0.0,0
8,4,7,597,63,0.1055,0,0.0,0
8,4,9,856,98,0.1145,0,0.0,0
8,5,1,181,15,0.0829,0,0.0,0
8,5,11,687,29,0.0422,0,0.0,0
8,5,13,438,37,0.0845,0,0.0,0
8,5,15,606,32,0.0528,0,0.0,0
8,5,17,17,1,0.0588,0,0.0,0
8,5,3,88,4,0.0455,0,0.0,0
8,5,5,46,2,0.0435,0,0.0,0
8,5,7,597,30,0.0503,0,0.0,0
8,5,9,856,52,0.0607,0,0.0,0
8,6,1,179,6,0.0335,0,0.0,0
8,6,11,687,21,0.0306,0,0.0,0
8,6,13,438,7,0.016,0,0.0,0
8,6,15,600,10,0.0167,0,0.0,0
8,6,17,17,0,0.0,0,0.0,0
8,6,3,85,1,0.0118,0,0.0,0
8,6,5,46,1,0.0217,0,0.0,0
8,6,7,590,7,0.0119,0,0.0,0
8,6,9,849,13,0.0153,0,0.0,0
9,1,10,1,0,0.0,0,0.0,1
9,1,12,312,168,0.5385,157,0.5032,0
9,1,14,662,393,0.5937,380,0.574,0
9,1,16,3,2,0.6667,2,0.6667,1
9,1,17,238,157,0.6597,152,0.6387,0
9,1,2,5,4,0.8,4,0.8,1
9,1,4,739,420,0.5683,402,0.544,0
9,1,6,1371,765,0.558,715,0.5215,0
9,1,8,22,13,0.5909,11,0.5,0
9,2,10,1,1,1.0,0,0.0,1
9,2,12,312,35,0.1122,0,0.0,0
9,2,14,662,76,0.1148,0,0.0,0
9,2,16,3,1,0.3333,0,0.0,1
9,2,17,238,21,0.0882,0,0.0,0
9,2,2,5,0,0.0,0,0.0,1
9,2,4,739,103,0.1394,0,0.0,0
9,2,6,1371,205,0.1495,0,0.0,0
